team_won,team_lost,winning_score,losing_score
Copenhagen Flames,1WIN,2,0
ENCE,mousesports,2,0
Endpoint,Sharks,2,1
NIP,MIBR,2,1
Fiend,Iberian Family,2,0
ALTERNATE aTTaX,AGO,2,1
Budapest Five,Young Ninjas,2,1
Dire Wolves,Rooster,2,1
VERTEX,Paradox,2,0
Renegades,Chiefs,2,0
ORDER,R!OT,2,0
Lyngby Vikings,MIBR,2,1
Galaxy Racer,HYENAS,1,0
Copenhagen Flames,ALTERNATE aTTaX,2,1
EXTREMUM,Budapest Five,2,0
K23,KHAN,2,0
Iberian Family,MIBR,2,0
Sharks,Galaxy Racer,2,1
Endpoint,HYENAS,1,0
Anonymo,Young Ninjas,2,0
Fiend,Lyngby Vikings,2,1
1WIN,AGO,2,1
Third Impact,X13,2,1
ENCE,Endpoint,2,1
SAW,OFFSET,2,1
Gambit,Natus Vincere,2,0
100PG,K23,2,1
Good Game,4glory,2,1
GAIJIN,Red Instinct,2,0
ONYX,PORTUGAL,2,0
Sinners,Entropiq Prague,3,1
Fiend,Copenhagen Flames,2,1
Natus Vincere,G2,2,1
Galaxy Racer,SJ,2,0
PORTUGAL,Good Game,2,0
Nemiga,KHAN,2,0
ENCE,HYENAS,2,0
Renewal,NKT,2,1
Sampi,Enterprise,2,1
ONYX,4glory,2,0
HYENAS,K23,2,0
Third Impact,GGPR,2,0
Triumph,X13,2,0
Third Impact,Mythic,2,1
GGPR,Counter Nature,2,0
G2,NIP,2,1
Nordavind,Entropiq,2,0
100PG,EC Kyiv,2,0
forZe,K23,2,0
Lin4evateli,Sestri,2,0
Young Ninjas,Sangal,2,1
KHAN,ex-Marlian,2,1
Entropiq,Nemiga,2,1
Gambit,Natus Vincere,2,1
Checkmate,NKT,2,0
Renewal,HZ,2,0
Entropiq Prague,Sampi,2,0
ENCE,K23,2,0
Sangal,Tricked,2,0
NKT,Renewal,2,1
Sinners,Enterprise,2,0
Checkmate,HZ,2,1
Sangal,EC Brugge,2,0
ex-Marlian,EC Kyiv,2,1
HYENAS,Entropiq,1,0
GGPR,Triton,2,0
Third Impact,ChocoCheck,1,0
X13,Counter Nature,2,1
Triumph,Mythic,2,0
K23,100PG,2,1
SAW,DBL PONEY,2,0
G2,Complexity,2,1
forZe,EC Kyiv,2,0
Anonymo,1WIN,2,1
777,SKADE,2,0
Nemiga,ex-Marlian,2,0
HYENAS,Lyngby Vikings,2,0
Entropiq,KHAN,2,0
NIP,BIG,2,0
DBL PONEY,Tricked,2,0
Iberian Family,Apeks,2,1
Tricked,Sangal,16,14
EC Kyiv,Sestri,2,0
Entropiq,Dignitas,2,0
DBL PONEY,EC Brugge,16,9
ex-Marlian,TheDice,2,0
HYENAS,Budapest Five,2,0
Counter Nature,Third Impact,2,0
X13,ChocoCheck,2,0
Mythic,GGPR,2,1
Triumph,Triton,2,0
HAVU,Lyngby Vikings,2,1
SAW,eXploit,2,0
Entropiq Prague,Brute,2,0
Natus Vincere,BIG,2,0
AGF,Tricked,2,1
Gambit,Complexity,2,0
Enterprise,eSuba,2,1
Galaxy Racer,1WIN,2,1
Lyngby Vikings,Anonymo,2,1
K23,Dignitas,2,1
Trident,Budapest Five,2,0
G2,FaZe,2,1
Iberian Family,Ambush,2,1
Trident,SKADE,2,1
ENCE,HYENAS,2,0
Copenhagen Flames,Budapest Five,2,0
HYENAS,HONORIS,2,1
Apeks,FTW,2,0
Big Chillin,QcClan,2,1
CENSRD,Third Impact,2,1
Mythic,CRONEM,2,0
Triumph,Secret Club,2,0
paiN,Party Astronauts,2,0
ChocoCheck,Recon 5,2,0
NIP,Evil Geniuses,2,0
GamerLegion,Sprout,2,1
AGO,Anonymo,2,1
Wisla Krakow,SAW,2,1
forZe,ALTERNATE aTTaX,2,1
OFFSET,N2E,2,0
Endpoint,Sangal,2,0
Budapest Five,Ambush,2,0
Natus Vincere,FaZe,2,1
Fiend,Copenhagen Flames,2,0
Lyngby Vikings,Sinners,2,0
Copenhagen Flames,Budapest Five,2,1
Galaxy Racer,Apeks,2,0
ALTERNATE aTTaX,1WIN,2,0
BIG,G2,2,1
Izako Boars,Sinners,1,0
Entropiq,HAVU,2,1
BBBMBCBS,Hazard,2,1
Dire Wolves,Renegades,2,1
Lyngby Vikings,HYENAS,2,1
Copenhagen Flames,Trident,16,11
Anonymo,HONORIS,2,0
Chiefs,Skyfire,2,0
Budapest Five,SKADE,19,17
Bandits,munyanyo,2,0
Paradox,Dynasty,1,0
FTW,ONYX,2,0
Iberian Family,Tricked,2,0
CENSRD,CRONEM,2,0
Recon 5,Triumph,2,0
RBG,TeamOne,2,0
ChocoCheck,Big Chillin,2,0
paiN,Third Impact,2,0
Extra Salt,GGPR,2,0
ChocoCheck,Extra Salt,1,0
BLINK,Wisla Krakow,2,1
Sangal,Izako Boars,2,1
LDLC,SAW,2,1
forZe,Nemiga,2,0
Endpoint,Movistar Riders,2,0
Complexity,NIP,2,0
AGO,Sprout,2,0
1WIN,Lyngby Vikings,2,1
Copenhagen Flames,Anonymo,2,0
Gambit,Evil Geniuses,2,0
Fiend,Galaxy Racer,2,0
K23,Lyngby Vikings,2,0
ALTERNATE aTTaX,HYENAS,2,0
HONORIS,Iberian Family,2,1
Hazard,Alke,2,1
Paradox,Chiefs,2,0
Dignitas,Sinners,2,0
Budapest Five,FTW,2,0
R!OT,BBBMBCBS,2,0
VERTEX,Animal Squad,2,0
Rooster,Dynasty,2,0
Ambush,ONYX,2,1
ORDER,Bandits,1,0
Dire Wolves,Sylyx,1,0
Apeks,Tricked,2,0
GamerLegion,Anonymo,2,1
Sangal,Sprout,2,0
forZe,Apeks,2,0
100PG, bankaPEPSI,2,0
BIG,ALTERNATE aTTaX,2,0
Lyngby Vikings,Iberian Family,2,0
Galaxy Racer,Budapest Five,2,0
SKADE,SAW,3,0
TBATBATBA,ANIMEplusW,2,1
HYENAS,Entropiq,2,0
Copenhagen Flames,Ambush,2,0
Anonymo,ONYX,2,0
ORDER,Simplicity,1,0
ENCE,HAVU,2,1
HYENAS,Apeks,2,0
Fiend,FTW,2,0
ALTERNATE aTTaX,Tricked,2,0
1WIN,HONORIS,2,0
Counter Nature,HeadShotKings,2,1
GODSENT,TeamOne,2,0
River Plate,Boca Juniors,2,1
Paquetá,Furious,2,1
Triton,Brazen,2,0
River Plate,Malvinas,2,0
100PG,AVE,2,0
Endpoint,Young Ninjas,2,0
Anonymo,Izako Boars,2,0
SAW,forZe,2,1
TBATBATBA,Sky7eveN,2,1
 bankaPEPSI,GROND,2,0
MAD Lions,HONORIS,2,1
Boca Juniors,LSC,2,0
los kogutos,VIXIT,2,0
Gambit,OG,3,0
ENCE,Sangal,2,0
ANIMEplusW,Trident,2,0
Checkmate,CatEvil,2,1
MAD Lions,EC Brugge,2,0
HONORIS,TPT,2,0
CatEvil,TBC,16,6
Checkmate,Bco,16,12
TeamOne,paiN,2,1
Meta,Keyd,2,0
INTZ,eLevate,2,1
GODSENT,Bad News Bears,2,0
DETONA,SWS,2,1
TeamOne,RBG,2,1
KG Network,Black Dragons,2,0
Bad News Bears,Third Impact,2,0
GODSENT,Party Astronauts,2,0
paiN,X13,2,0
Gambit,G2,2,0
Entropiq,Copenhagen Flames,2,0
OG,Vitality,2,1
Nordavind,SKADE,2,1
Fiend,Izako Boars,2,0
Izako Boars,Young Ninjas,2,1
X13,Counter Nature,2,0
KG Network,Bears,2,1
INTZ,Santos,2,0
Meta,Rehl,2,0
SWS,RUSH,2,0
GGPR,Verum,2,0
Paquetá,DETONA,16,11
Havan Liberty,Keyd,16,7
FURIA Academy,eLevate,16,4
Bravos,Black Dragons,16,2
Black Dragons,Bears,16,13
DETONA,SWS,16,7
Keyd,Meta,16,14
eLevate,INTZ,16,11
Bravos,KG Network,16,7
FURIA Academy,Santos,16,8
Havan Liberty,Rehl,16,6
Paquetá,RUSH,16,13
Apeks,ALTERNATE aTTaX,2,1
DBL PONEY,Tricked,2,0
Gambit,Evil Geniuses,2,0
SKADE,SAW,2,1
Budapest Five,Nemiga,2,1
Copenhagen Flames,MASONIC,2,0
777,HAVU,2,1
Vitality,Virtus.pro,2,0
FTW,eXploit,2,1
HONORIS,Wisla Krakow,2,1
Entropiq,Fiend,2,0
forZe,Sinners,2,0
Renewal,Wings Up,2,0
Ambush,Chetz,2,1
Fiend,Young Ninjas,16,11
Galaxy Racer,KOVA,2,0
Wings Up,Newhappy,16,13
Entropiq,Izako Boars,16,14
Renewal,Invictus,16,6
ONYX,4glory,2,1
1WIN,VP.Prodigy,2,0
Apeks,Copenhagen Flames,2,1
Fiend,Lyngby Vikings,2,0
Sinners,Entropiq,2,1
Wisla Krakow,ALTERNATE aTTaX,2,0
MASONIC,Lilmix,2,0
SAW,AGF,2,0
Apeks,Lilmix,2,1
Copenhagen Flames,MASONIC,2,0
Sprout,Anonymo,2,0
Akuma,IN.GAME,2,0
forZe,Young Ninjas,2,0
Lyngby Vikings,Budapest Five,2,1
Akuma,ex-Marlian,2,0
Dynasty,Bandits,2,0
Nemiga,100PG,2,0
R!OT,Hazard,2,0
Budapest Five,100PG,2,0
Lyngby Vikings,Nemiga,2,0
Mythic,CENSRD,2,1
GGPR,Secret Club,2,1
Party Astronauts,Third Impact,2,0
RBG,PDHM,2,0
LDLC,Nemiga,2,1
forZe,Wisla Krakow,2,1
AGO,Sangal,2,1
SAW,Apeks,2,0
BLINK,ALTERNATE aTTaX,2,0
Sinners,GamerLegion,2,0
Endpoint,Izako Boars,2,0
Movistar Riders,Sprout,2,0
eXploit,VELOX,2,0
Iberian Family,FTW,2,0
FTW,eXploit,2,1
Iberian Family,VELOX,2,0
HYENAS,IN.GAME,2,0
Anonymo,Wisla Krakow,2,1
IN.GAME,ex-Marlian,16,12
ORDER,Dynasty,2,0
HONORIS,PACT,2,0
Paradox,Bandits,2,0
Renegades,Overperformers,2,0
HYENAS,Akuma,16,9
Simplicity,Skyfire,1,0
BBBMBCBS,Sylyx,1,0
Anonymo,HONORIS,2,0
Wisla Krakow,PACT,2,0
RBG,Mythic,2,1
Secret Club,Recon 5,2,0
paiN,CENSRD,2,0
TeamOne,Third Impact,2,0
